"dow","count","service_product"
0,36198,"debit"
0,34059,"topup"
0,24038,"credit"
0,15634,"debit_rev"
0,15480,"manualtopup"
0,13761,"fee"
0,11272,"dvcashin"
0,10693,"credit_rev"
0,10176,"commission"
0,6691,"transferin"
0,5092,"transferout"
0,2346,"topupfee"
0,2315,"TRUE"
0,2315,"AIS"
0,2315,"TMNTOPUP"
0,2258,"DTAC"
0,2151,"KBANKDEPOSIT"
0,2021,"SCBDEPOSIT"
0,1972,"KTBDEPOSIT"
0,1760,"AISPROSERM"
0,1394,"TRUEPROSERM"
0,1366,"DTACPROSERM"
0,1358,"MYCAT"
0,1300,"GSBDEPOSIT"
0,1283,"payrolltopup"
0,1229,"PEA"
0,1145,"BAACDEPOSIT"
0,1088,"GSBDEPOSITONLINE"
0,959,"TMNEPIN"
0,934,"M-150 น้ำผึ้ง 150 มล."
0,808,"dvcashin_rev"
0,666,"BAYDEPOSIT"
0,612,"APLAY"
0,607,"น้ำดื่ม อุลตร้าแมน ขนาด 500ml."
0,572,"โค้ก-สลิม"
0,563,"เป๊ปซี่ สลิม 245 มล."
0,559,"คาราบาวแดง"
0,517,"AIRPAYWALLET"
0,357,"น้ำแร่ อุลตร้าแมน ขนาด 500 มล."
0,350,"บิ๊กกรีนที น้ำผึ้งผสมมะนาว"
0,335,"เมจิกฟาร์ม มะพร้าว"
0,329,"เนสกาแฟ เอสเปรสโซ"
0,306,"เอ็ม-150"
0,299,"เอส เพลย์ เกรปเบอร์รี่ 250 มล."
0,291,"3BBONLINE"
0,287,"ชเวปส์"
0,284,"เอส-โคล่า"
0,281,"AISBILL"
0,277,"เนสกาแฟ ลาเต้"
0,274,"บิ๊กกรีนที"
0,274,"TRUEONLINE"
0,264,"เครื่องดื่มเจลลี่รสสตรอเบอร์รี่6.11"
0,256,"เอส เพลย์ ครีมโซดา"
0,253,"แฟนต้า แดง 245 มล."
0,241,"UFC- เฉาก๊วย"
0,241,"DTACPOSTPAIDONLINE"
0,240,"เบอร์ดี้โรบัสต้า 180 มล."
0,231,"โวลต์ กาแฟอีนและซิงค์ 215 มล."
0,219,"สิงห์ เลมอนโซดา 330 มล."
0,218,"บิ๊กโคล่า-น้ำดำ"
0,214,"RABBITLINEPAY"
0,210,"เอส เพลย์ สตรอเบอร์รี่ 250 มล. (กระป๋อง)"
0,208,"TRUEPOSTPAID"
0,204,"ซีวิท-ออเร้นจ์"
0,195,"611 น้ำเกลือแร่(Six.Eleven)"
0,180,"PWA"
0,169,"เทสโต แผ่นหยัก ปูผัดผงกระหรี่"
0,164,"ซีวิท-เลมอน"
0,161,"SBMTOPUPWALLET"
0,154,"สแน็คแจ๊ค"
0,149,"คอนเน่"
0,148,"น้ำดื่มเวนดิ้งพลัส อัลคาไลน์วอเตอร์"
0,147,"โค้ก-ซีโร่ 245ml. (1x12)"
0,146,"ปาร์ตี้ คาราเมล"
0,143,"611 น้ำวิตามินซี (Six.Eleven)"
0,142,"TRUECONVERGENCE"
0,138,"เทสโต แผ่นเรียบ รสสาหร่ายญี่ปุ่น 52 กรัม"
0,137,"ฮานามิ"
0,135,"ปาปริก้า"
0,131,"เลย์ รสเอ๊กซ์ตร้า บาร์บีคิว"
